ds,y
6/15/2020,198
6/16/2020,187
6/17/2020,153
6/18/2020,186
6/19/2020,187
6/20/2020,203
6/21/2020,179
6/22/2020,177
6/23/2020,171
6/24/2020,171
6/25/2020,187
6/26/2020,172
6/27/2020,197
6/28/2020,186
6/29/2020,179
6/30/2020,195
7/1/2020,216
7/2/2020,175
7/3/2020,206
7/4/2020,237
7/5/2020,241
7/6/2020,155
7/7/2020,200
7/8/2020,202
7/9/2020,239
7/10/2020,194
7/11/2020,184
7/12/2020,196
7/13/2020,184
7/14/2020,183
7/15/2020,177
7/16/2020,174
7/17/2020,201
7/18/2020,213
7/19/2020,232
7/20/2020,224
7/21/2020,208
7/22/2020,169
7/23/2020,199
7/24/2020,198
7/25/2020,174
7/26/2020,188
7/27/2020,226
7/28/2020,188
7/29/2020,211
7/30/2020,213
7/31/2020,193
8/1/2020,231
8/2/2020,202
8/3/2020,189
8/4/2020,215
8/5/2020,199
8/6/2020,197
8/7/2020,215
8/8/2020,213
8/9/2020,223
8/10/2020,172
8/11/2020,200
8/12/2020,165
8/13/2020,168
8/14/2020,240
8/15/2020,226
8/16/2020,261
8/17/2020,216
8/18/2020,218
8/19/2020,198
8/20/2020,221
8/21/2020,222
8/22/2020,214
8/23/2020,169
8/24/2020,203
8/25/2020,192
8/26/2020,210
8/27/2020,211
8/28/2020,189
8/29/2020,183
8/30/2020,209
8/31/2020,195
9/1/2020,244
9/2/2020,182
9/3/2020,223
9/4/2020,216
9/5/2020,215
9/6/2020,212
9/7/2020,185
9/8/2020,161
9/9/2020,175
9/10/2020,190
9/11/2020,244
9/12/2020,206
9/13/2020,199
9/14/2020,218
9/15/2020,212
9/16/2020,201
9/17/2020,232
9/18/2020,219
9/19/2020,207
9/20/2020,190
9/21/2020,198
9/22/2020,198
9/23/2020,183
9/24/2020,200
9/25/2020,209
9/26/2020,229
9/27/2020,200
9/28/2020,193
9/29/2020,167
9/30/2020,210
10/1/2020,219
10/2/2020,232
10/3/2020,217
10/4/2020,175
10/5/2020,188
10/6/2020,200
10/7/2020,254
10/8/2020,199
10/9/2020,205
10/10/2020,226
10/11/2020,190
10/12/2020,186
10/13/2020,171
10/14/2020,206
10/15/2020,193
10/16/2020,260
10/17/2020,195
10/18/2020,158
10/19/2020,202
10/20/2020,199
10/21/2020,207
10/22/2020,192
10/23/2020,194
10/24/2020,203
10/25/2020,153
10/26/2020,133
10/27/2020,186
10/28/2020,181
10/29/2020,185
10/30/2020,227
10/31/2020,214
11/1/2020,245
11/2/2020,207
11/3/2020,171
11/4/2020,215
11/5/2020,189
11/6/2020,229
11/7/2020,196
11/8/2020,191
11/9/2020,196
11/10/2020,182
11/11/2020,151
11/12/2020,197
11/13/2020,210
11/14/2020,168
11/15/2020,182
11/16/2020,202
11/17/2020,184
11/18/2020,184
11/19/2020,202
11/20/2020,201
11/21/2020,199
11/22/2020,167
11/23/2020,161
11/24/2020,165
11/25/2020,205
11/26/2020,142
11/27/2020,194
11/28/2020,223
11/29/2020,205
11/30/2020,196
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
